seqname,source,feature,start,end,score,strand,frame,ID,Name,gbkey,gene,gene_biotype,locus_tag,old_locus_tag
NC_008463.1,RefSeq,gene,992856,993824,.,+,.,gene-PA14_RS04635,thiL,Gene,thiL,protein_coding,PA14_RS04635,PA14_11460
NC_008463.1,RefSeq,gene,993817,994332,.,+,.,gene-PA14_RS04640,PA14_RS04640,Gene,NA,protein_coding,PA14_RS04640,PA14_11470
NC_008463.1,RefSeq,gene,994341,995087,.,+,.,gene-PA14_RS04645,PA14_RS04645,Gene,NA,protein_coding,PA14_RS04645,PA14_11480
NC_008463.1,RefSeq,gene,995090,995734,.,+,.,gene-PA14_RS04650,PA14_RS04650,Gene,NA,protein_coding,PA14_RS04650,PA14_11490
NC_008463.1,RefSeq,gene,995865,996482,.,+,.,gene-PA14_RS04655,ribA,Gene,ribA,protein_coding,PA14_RS04655,PA14_11510
NC_008463.1,RefSeq,gene,996479,996898,.,+,.,gene-PA14_RS04660,PA14_RS04660,Gene,NA,protein_coding,PA14_RS04660,PA14_11520
NC_008463.1,RefSeq,gene,996898,997695,.,+,.,gene-PA14_RS04665,PA14_RS04665,Gene,NA,protein_coding,PA14_RS04665,PA14_11530
NC_008463.1,RefSeq,gene,997819,999702,.,-,.,gene-PA14_RS04670,dxs,Gene,dxs,protein_coding,PA14_RS04670,PA14_11550
NC_008463.1,RefSeq,gene,999811,1000698,.,-,.,gene-PA14_RS04675,PA14_RS04675,Gene,NA,protein_coding,PA14_RS04675,PA14_11560
NC_008463.1,RefSeq,gene,1000695,1000937,.,-,.,gene-PA14_RS04680,PA14_RS04680,Gene,NA,protein_coding,PA14_RS04680,PA14_11570
NC_008463.1,RefSeq,gene,1001095,1002264,.,+,.,gene-PA14_RS04685,PA14_RS04685,Gene,NA,protein_coding,PA14_RS04685,PA14_11580
NC_008463.1,RefSeq,gene,1002496,1003503,.,-,.,gene-PA14_RS04690,PA14_RS04690,Gene,NA,protein_coding,PA14_RS04690,PA14_11590
NC_008463.1,RefSeq,gene,1003505,1005307,.,-,.,gene-PA14_RS04695,PA14_RS04695,Gene,NA,protein_coding,PA14_RS04695,PA14_11600
NC_008463.1,RefSeq,gene,1005317,1006051,.,-,.,gene-PA14_RS04700,PA14_RS04700,Gene,NA,protein_coding,PA14_RS04700,PA14_11610
NC_008463.1,RefSeq,gene,1006048,1006974,.,-,.,gene-PA14_RS04705,PA14_RS04705,Gene,NA,protein_coding,PA14_RS04705,PA14_11620
NC_008463.1,RefSeq,gene,1007379,1009679,.,-,.,gene-PA14_RS04710,PA14_RS04710,Gene,NA,protein_coding,PA14_RS04710,PA14_11630
NC_008463.1,RefSeq,gene,1009698,1010699,.,-,.,gene-PA14_RS04715,PA14_RS04715,Gene,NA,protein_coding,PA14_RS04715,PA14_11650
NC_008463.1,RefSeq,gene,1010865,1011554,.,-,.,gene-PA14_RS04720,aqpZ,Gene,aqpZ,protein_coding,PA14_RS04720,PA14_11660
NC_008463.1,RefSeq,gene,1011901,1012170,.,-,.,gene-PA14_RS04725,mucE,Gene,mucE,protein_coding,PA14_RS04725,PA14_11670
NC_008463.1,RefSeq,gene,1012365,1013081,.,+,.,gene-PA14_RS04730,PA14_RS04730,Gene,NA,protein_coding,PA14_RS04730,PA14_11680
NC_008463.1,RefSeq,gene,1013172,1013699,.,-,.,gene-PA14_RS04735,ppa,Gene,ppa,protein_coding,PA14_RS04735,PA14_11690
NC_008463.1,RefSeq,gene,1013779,1014609,.,-,.,gene-PA14_RS04740,PA14_RS04740,Gene,NA,protein_coding,PA14_RS04740,PA14_11700
NC_008463.1,RefSeq,gene,1014612,1015277,.,-,.,gene-PA14_RS04745,PA14_RS04745,Gene,NA,protein_coding,PA14_RS04745,PA14_11720
NC_008463.1,RefSeq,gene,1015471,1017054,.,+,.,gene-PA14_RS04750,PA14_RS04750,Gene,NA,protein_coding,PA14_RS04750,PA14_11730
NC_008463.1,RefSeq,gene,1016947,1017840,.,-,.,gene-PA14_RS04755,PA14_RS04755,Gene,NA,protein_coding,PA14_RS04755,PA14_11740
NC_008463.1,RefSeq,gene,1017890,1018351,.,-,.,gene-PA14_RS04760,PA14_RS04760,Gene,NA,protein_coding,PA14_RS04760,PA14_11750
NC_008463.1,RefSeq,gene,1018515,1019336,.,-,.,gene-PA14_RS04765,eutC,Gene,eutC,protein_coding,PA14_RS04765,PA14_11760
NC_008463.1,RefSeq,gene,1019347,1020741,.,-,.,gene-PA14_RS04770,PA14_RS04770,Gene,NA,protein_coding,PA14_RS04770,PA14_11770
NC_008463.1,RefSeq,gene,1020800,1022248,.,-,.,gene-PA14_RS04775,eat,Gene,eat,protein_coding,PA14_RS04775,PA14_11790
NC_008463.1,RefSeq,gene,1022458,1023978,.,-,.,gene-PA14_RS04780,PA14_RS04780,Gene,NA,protein_coding,PA14_RS04780,PA14_11810
NC_008463.1,RefSeq,gene,1024317,1026248,.,+,.,gene-PA14_RS04785,eatR,Gene,eatR,protein_coding,PA14_RS04785,PA14_11830
NC_008463.1,RefSeq,gene,1026406,1027761,.,+,.,gene-PA14_RS04790,mpl,Gene,mpl,protein_coding,PA14_RS04790,PA14_11845
NC_008463.1,RefSeq,gene,1027770,1028399,.,+,.,gene-PA14_RS04795,ubiX,Gene,ubiX,protein_coding,PA14_RS04795,PA14_11860
NC_008463.1,RefSeq,gene,1028383,1028676,.,+,.,gene-PA14_RS04800,PA14_RS04800,Gene,NA,protein_coding,PA14_RS04800,PA14_11880
NC_008463.1,RefSeq,gene,1028696,1029337,.,-,.,gene-PA14_RS04805,PA14_RS04805,Gene,NA,protein_coding,PA14_RS04805,PA14_11890
NC_008463.1,RefSeq,gene,1029384,1031123,.,-,.,gene-PA14_RS04810,PA14_RS04810,Gene,NA,protein_coding,PA14_RS04810,PA14_11900
NC_008463.1,RefSeq,gene,1031314,1031769,.,-,.,gene-PA14_RS04815,PA14_RS04815,Gene,NA,protein_coding,PA14_RS04815,PA14_11910
NC_008463.1,RefSeq,gene,1031963,1032325,.,+,.,gene-PA14_RS04820,PA14_RS04820,Gene,NA,protein_coding,PA14_RS04820,PA14_11920
NC_008463.1,RefSeq,gene,1032325,1033035,.,+,.,gene-PA14_RS04825,PA14_RS04825,Gene,NA,protein_coding,PA14_RS04825,PA14_11930
NC_008463.1,RefSeq,gene,1033055,1033648,.,+,.,gene-PA14_RS04830,PA14_RS04830,Gene,NA,protein_coding,PA14_RS04830,PA14_11940
NC_008463.1,RefSeq,gene,1033659,1034972,.,-,.,gene-PA14_RS04835,PA14_RS04835,Gene,NA,protein_coding,PA14_RS04835,PA14_11960
NC_008463.1,RefSeq,gene,1034969,1035688,.,-,.,gene-PA14_RS04840,PA14_RS04840,Gene,NA,protein_coding,PA14_RS04840,PA14_11970
NC_008463.1,RefSeq,gene,1035752,1036609,.,+,.,gene-PA14_RS04845,PA14_RS04845,Gene,NA,protein_coding,PA14_RS04845,PA14_11980
NC_008463.1,RefSeq,gene,1036617,1037840,.,-,.,gene-PA14_RS04850,PA14_RS04850,Gene,NA,protein_coding,PA14_RS04850,PA14_11990
NC_008463.1,RefSeq,gene,1038138,1039403,.,+,.,gene-PA14_RS04855,PA14_RS04855,Gene,NA,protein_coding,PA14_RS04855,PA14_12010
NC_008463.1,RefSeq,gene,1039403,1040047,.,+,.,gene-PA14_RS04860,nadD,Gene,nadD,protein_coding,PA14_RS04860,PA14_12020
NC_008463.1,RefSeq,gene,1040070,1040426,.,+,.,gene-PA14_RS04865,rsfS,Gene,rsfS,protein_coding,PA14_RS04865,PA14_12030
NC_008463.1,RefSeq,gene,1040434,1040901,.,+,.,gene-PA14_RS04870,rlmH,Gene,rlmH,protein_coding,PA14_RS04870,PA14_12050
NC_008463.1,RefSeq,gene,1040914,1042854,.,+,.,gene-PA14_RS04875,mrdA,Gene,mrdA,protein_coding,PA14_RS04875,PA14_12060
NC_008463.1,RefSeq,gene,1042886,1043989,.,+,.,gene-PA14_RS04880,rodA,Gene,rodA,protein_coding,PA14_RS04880,PA14_12070
NC_008463.1,RefSeq,gene,1043998,1045020,.,+,.,gene-PA14_RS04885,mltB,Gene,mltB,protein_coding,PA14_RS04885,PA14_12080
NC_008463.1,RefSeq,gene,1045017,1046042,.,+,.,gene-PA14_RS04890,rlpA,Gene,rlpA,protein_coding,PA14_RS04890,PA14_12090
NC_008463.1,RefSeq,gene,1046108,1047268,.,+,.,gene-PA14_RS04895,PA14_RS04895,Gene,NA,protein_coding,PA14_RS04895,PA14_12100
NC_008463.1,RefSeq,gene,1047339,1047620,.,+,.,gene-PA14_RS04900,PA14_RS04900,Gene,NA,protein_coding,PA14_RS04900,PA14_12110
NC_008463.1,RefSeq,gene,1047620,1048273,.,+,.,gene-PA14_RS04905,lipB,Gene,lipB,protein_coding,PA14_RS04905,PA14_12120
NC_008463.1,RefSeq,gene,1048270,1049253,.,+,.,gene-PA14_RS04910,lipA,Gene,lipA,protein_coding,PA14_RS04910,PA14_12130
NC_008463.1,RefSeq,gene,1049398,1050291,.,-,.,gene-PA14_RS04915,PA14_RS04915,Gene,NA,protein_coding,PA14_RS04915,PA14_12140
NC_008463.1,RefSeq,gene,1050399,1051289,.,+,.,gene-PA14_RS04920,PA14_RS04920,Gene,NA,protein_coding,PA14_RS04920,PA14_12150
NC_008463.1,RefSeq,gene,1051492,1052838,.,-,.,gene-PA14_RS04925,PA14_RS04925,Gene,NA,protein_coding,PA14_RS04925,PA14_12160
NC_008463.1,RefSeq,gene,1053067,1053285,.,+,.,gene-PA14_RS31355,PA14_RS31355,Gene,NA,protein_coding,PA14_RS31355,PA14_12170
NC_008463.1,RefSeq,gene,1053401,1053553,.,-,.,gene-PA14_RS04940,PA14_RS04940,Gene,NA,protein_coding,PA14_RS04940,PA14_12180
NC_008463.1,RefSeq,gene,1053645,1054682,.,-,.,gene-PA14_RS04945,holA,Gene,holA,protein_coding,PA14_RS04945,PA14_12200
NC_008463.1,RefSeq,gene,1054720,1055343,.,-,.,gene-PA14_RS04950,lptE,Gene,lptE,protein_coding,PA14_RS04950,PA14_12210
NC_008463.1,RefSeq,gene,1055410,1058031,.,-,.,gene-PA14_RS04955,leuS,Gene,leuS,protein_coding,PA14_RS04955,PA14_12230
NC_008463.1,RefSeq,gene,1058202,1058633,.,+,.,gene-PA14_RS04960,PA14_RS04960,Gene,NA,protein_coding,PA14_RS04960,PA14_12260
NC_008463.1,RefSeq,gene,1058706,1059467,.,+,.,gene-PA14_RS04965,PA14_RS04965,Gene,NA,protein_coding,PA14_RS04965,PA14_12270
NC_008463.1,RefSeq,gene,1059517,1061052,.,-,.,gene-PA14_RS04970,lnt,Gene,lnt,protein_coding,PA14_RS04970,PA14_12280
NC_008463.1,RefSeq,gene,1061238,1062077,.,-,.,gene-PA14_RS04975,PA14_RS04975,Gene,NA,protein_coding,PA14_RS04975,PA14_12300
NC_008463.1,RefSeq,gene,1062074,1062556,.,-,.,gene-PA14_RS04980,ybeY,Gene,ybeY,protein_coding,PA14_RS04980,PA14_12310
NC_008463.1,RefSeq,gene,1062546,1063568,.,-,.,gene-PA14_RS04985,PA14_RS04985,Gene,NA,protein_coding,PA14_RS04985,PA14_12330
NC_008463.1,RefSeq,gene,1063737,1065077,.,-,.,gene-PA14_RS04990,miaB,Gene,miaB,protein_coding,PA14_RS04990,PA14_12350
NC_008463.1,RefSeq,gene,1065206,1065538,.,+,.,gene-PA14_RS04995,PA14_RS04995,Gene,NA,protein_coding,PA14_RS04995,PA14_12360
NC_008463.1,RefSeq,gene,1065554,1066102,.,-,.,gene-PA14_RS05000,PA14_RS05000,Gene,NA,protein_coding,PA14_RS05000,PA14_12370
NC_008463.1,RefSeq,gene,1066311,1067594,.,-,.,gene-PA14_RS05005,hemL,Gene,hemL,protein_coding,PA14_RS05005,PA14_12390
NC_008463.1,RefSeq,gene,1067632,1068261,.,-,.,gene-PA14_RS05010,thiE,Gene,thiE,protein_coding,PA14_RS05010,PA14_12400
NC_008463.1,RefSeq,gene,1068272,1069069,.,-,.,gene-PA14_RS05015,PA14_RS05015,Gene,NA,protein_coding,PA14_RS05015,PA14_12410
NC_008463.1,RefSeq,pseudogene,1069280,1071716,.,+,.,gene-PA14_RS05020,ladS,Gene,ladS,pseudogene,PA14_RS05020,PA14_12420
NC_008463.1,RefSeq,gene,1071822,1072469,.,+,.,gene-PA14_RS05025,PA14_RS05025,Gene,NA,protein_coding,PA14_RS05025,PA14_12440
NC_008463.1,RefSeq,gene,1072466,1074115,.,+,.,gene-PA14_RS05030,PA14_RS05030,Gene,NA,protein_coding,PA14_RS05030,PA14_12450
NC_008463.1,RefSeq,gene,1074127,1074558,.,+,.,gene-PA14_RS05035,PA14_RS05035,Gene,NA,protein_coding,PA14_RS05035,PA14_12470
NC_008463.1,RefSeq,gene,1074613,1076112,.,+,.,gene-PA14_RS05040,amn,Gene,amn,protein_coding,PA14_RS05040,PA14_12490
NC_008463.1,RefSeq,gene,1076787,1077872,.,-,.,gene-PA14_RS05050,PA14_RS05050,Gene,NA,protein_coding,PA14_RS05050,PA14_12530
NC_008463.1,RefSeq,gene,1078011,1078580,.,+,.,gene-PA14_RS05055,PA14_RS05055,Gene,NA,protein_coding,PA14_RS05055,PA14_12540
NC_008463.1,RefSeq,gene,1078614,1079006,.,-,.,gene-PA14_RS05060,PA14_RS05060,Gene,NA,protein_coding,PA14_RS05060,PA14_12550
NC_008463.1,RefSeq,gene,1079107,1079316,.,-,.,gene-PA14_RS05065,PA14_RS05065,Gene,NA,protein_coding,PA14_RS05065,PA14_12560
NC_008463.1,RefSeq,gene,1079518,1080027,.,-,.,gene-PA14_RS05070,PA14_RS05070,Gene,NA,protein_coding,PA14_RS05070,PA14_12570
NC_008463.1,RefSeq,gene,1081151,1082047,.,-,.,gene-PA14_RS05080,fieF,Gene,fieF,protein_coding,PA14_RS05080,PA14_12610
NC_008463.1,RefSeq,gene,1082136,1082552,.,-,.,gene-PA14_RS05085,PA14_RS05085,Gene,NA,protein_coding,PA14_RS05085,PA14_12620
NC_008463.1,RefSeq,pseudogene,1082694,1085211,.,+,.,gene-PA14_RS05090,hrpB,Gene,hrpB,pseudogene,PA14_RS05090,PA14_12630
NC_008463.1,RefSeq,gene,1085222,1085629,.,-,.,gene-PA14_RS05095,PA14_RS05095,Gene,NA,protein_coding,PA14_RS05095,PA14_12640
NC_008463.1,RefSeq,gene,1085653,1086387,.,-,.,gene-PA14_RS05100,PA14_RS05100,Gene,NA,protein_coding,PA14_RS05100,PA14_12650
NC_008463.1,RefSeq,gene,1086477,1087616,.,-,.,gene-PA14_RS05105,PA14_RS05105,Gene,NA,protein_coding,PA14_RS05105,PA14_12670
NC_008463.1,RefSeq,gene,1087678,1088514,.,+,.,gene-PA14_RS05110,PA14_RS05110,Gene,NA,protein_coding,PA14_RS05110,PA14_12680
NC_008463.1,RefSeq,gene,1088521,1088955,.,-,.,gene-PA14_RS05115,PA14_RS05115,Gene,NA,protein_coding,PA14_RS05115,PA14_12690
NC_008463.1,RefSeq,gene,1089022,1089678,.,-,.,gene-PA14_RS05120,PA14_RS05120,Gene,NA,protein_coding,PA14_RS05120,PA14_12700
NC_008463.1,RefSeq,gene,1089762,1090856,.,-,.,gene-PA14_RS05125,sfnG,Gene,sfnG,protein_coding,PA14_RS05125,PA14_12710
NC_008463.1,RefSeq,gene,1091014,1091595,.,-,.,gene-PA14_RS05130,PA14_RS05130,Gene,NA,protein_coding,PA14_RS05130,PA14_12730
NC_008463.1,RefSeq,gene,1091695,1092411,.,+,.,gene-PA14_RS05135,PA14_RS05135,Gene,NA,protein_coding,PA14_RS05135,PA14_12740
NC_008463.1,RefSeq,gene,1092477,1092980,.,+,.,gene-PA14_RS05140,PA14_RS05140,Gene,NA,protein_coding,PA14_RS05140,PA14_12750
NC_008463.1,RefSeq,gene,1093058,1094407,.,+,.,gene-PA14_RS05145,PA14_RS05145,Gene,NA,protein_coding,PA14_RS05145,PA14_12760
NC_008463.1,RefSeq,gene,1094430,1095605,.,-,.,gene-PA14_RS05150,PA14_RS05150,Gene,NA,protein_coding,PA14_RS05150,PA14_12770
NC_008463.1,RefSeq,gene,1095964,1096593,.,-,.,gene-PA14_RS05155,PA14_RS05155,Gene,NA,protein_coding,PA14_RS05155,PA14_12780
NC_008463.1,RefSeq,gene,1096875,1098053,.,+,.,gene-PA14_RS05160,rocR,Gene,rocR,protein_coding,PA14_RS05160,PA14_12810
NC_008463.1,RefSeq,gene,1098155,1101793,.,+,.,gene-PA14_RS05165,PA14_RS05165,Gene,NA,protein_coding,PA14_RS05165,PA14_12820
NC_008463.1,RefSeq,gene,1102008,1102598,.,+,.,gene-PA14_RS05170,PA14_RS05170,Gene,NA,protein_coding,PA14_RS05170,PA14_12840
NC_008463.1,RefSeq,gene,1102625,1103203,.,+,.,gene-PA14_RS05175,PA14_RS05175,Gene,NA,protein_coding,PA14_RS05175,PA14_12850
NC_008463.1,RefSeq,gene,1103206,1104801,.,+,.,gene-PA14_RS05180,PA14_RS05180,Gene,NA,protein_coding,PA14_RS05180,PA14_12860
NC_008463.1,RefSeq,gene,1104835,1105704,.,+,.,gene-PA14_RS05185,tesB,Gene,tesB,protein_coding,PA14_RS05185,PA14_12870
NC_008463.1,RefSeq,gene,1105701,1106297,.,+,.,gene-PA14_RS05190,PA14_RS05190,Gene,NA,protein_coding,PA14_RS05190,PA14_12890
NC_008463.1,RefSeq,gene,1106421,1106747,.,-,.,gene-PA14_RS05195,PA14_RS05195,Gene,NA,protein_coding,PA14_RS05195,PA14_12900
NC_008463.1,RefSeq,pseudogene,1107072,1107194,.,+,.,gene-PA14_RS05200,PA14_RS05200,Gene,NA,pseudogene,PA14_RS05200,PA14_12910
NC_008463.1,RefSeq,gene,1107458,1108471,.,+,.,gene-PA14_RS05205,tauA,Gene,tauA,protein_coding,PA14_RS05205,PA14_12920
NC_008463.1,RefSeq,gene,1108535,1109326,.,+,.,gene-PA14_RS05210,PA14_RS05210,Gene,NA,protein_coding,PA14_RS05210,PA14_12940
NC_008463.1,RefSeq,gene,1109316,1110134,.,+,.,gene-PA14_RS05215,PA14_RS05215,Gene,NA,protein_coding,PA14_RS05215,PA14_12960
NC_008463.1,RefSeq,gene,1110241,1111074,.,+,.,gene-PA14_RS05220,tauD,Gene,tauD,protein_coding,PA14_RS05220,PA14_12970
NC_008463.1,RefSeq,gene,1111237,1113273,.,+,.,gene-PA14_RS05225,PA14_RS05225,Gene,NA,protein_coding,PA14_RS05225,PA14_12980
NC_008463.1,RefSeq,gene,1113381,1115342,.,-,.,gene-PA14_RS05230,betT,Gene,betT,protein_coding,PA14_RS05230,PA14_12990
NC_008463.1,RefSeq,gene,1115532,1116506,.,-,.,gene-PA14_RS05235,PA14_RS05235,Gene,NA,protein_coding,PA14_RS05235,PA14_13000
NC_008463.1,RefSeq,gene,1116682,1117461,.,-,.,gene-PA14_RS05240,PA14_RS05240,Gene,NA,protein_coding,PA14_RS05240,PA14_13010
NC_008463.1,RefSeq,gene,1117899,1119365,.,+,.,gene-PA14_RS05245,cioA,Gene,cioA,protein_coding,PA14_RS05245,PA14_13030
NC_008463.1,RefSeq,gene,1119369,1120376,.,+,.,gene-PA14_RS05250,cioB,Gene,cioB,protein_coding,PA14_RS05250,PA14_13040
NC_008463.1,RefSeq,gene,1120390,1120560,.,+,.,gene-PA14_RS05255,PA14_RS05255,Gene,NA,protein_coding,PA14_RS05255,PA14_13050
NC_008463.1,RefSeq,gene,1120835,1121623,.,-,.,gene-PA14_RS05260,PA14_RS05260,Gene,NA,protein_coding,PA14_RS05260,PA14_13060
NC_008463.1,RefSeq,gene,1121725,1122906,.,+,.,gene-PA14_RS05265,PA14_RS05265,Gene,NA,protein_coding,PA14_RS05265,PA14_13070
NC_008463.1,RefSeq,gene,1122963,1124138,.,-,.,gene-PA14_RS05270,PA14_RS05270,Gene,NA,protein_coding,PA14_RS05270,PA14_13090
NC_008463.1,RefSeq,gene,1124320,1126002,.,+,.,gene-PA14_RS05275,PA14_RS05275,Gene,NA,protein_coding,PA14_RS05275,PA14_13110
NC_008463.1,RefSeq,gene,1126214,1128139,.,+,.,gene-PA14_RS05280,PA14_RS05280,Gene,NA,protein_coding,PA14_RS05280,PA14_13130
NC_008463.1,RefSeq,gene,1128200,1129567,.,+,.,gene-PA14_RS05285,PA14_RS05285,Gene,NA,protein_coding,PA14_RS05285,PA14_13140
NC_008463.1,RefSeq,gene,1129901,1132621,.,+,.,gene-PA14_RS05290,PA14_RS05290,Gene,NA,protein_coding,PA14_RS05290,PA14_13150
NC_008463.1,RefSeq,gene,1132653,1135031,.,-,.,gene-PA14_RS05295,copA1,Gene,copA1,protein_coding,PA14_RS05295,PA14_13170
NC_008463.1,RefSeq,gene,1135535,1136926,.,+,.,gene-PA14_RS05300,PA14_RS05300,Gene,NA,protein_coding,PA14_RS05300,PA14_13190
NC_008463.1,RefSeq,gene,1137043,1137819,.,+,.,gene-PA14_RS05305,PA14_RS05305,Gene,NA,protein_coding,PA14_RS05305,PA14_13200
NC_008463.1,RefSeq,gene,1137829,1138011,.,-,.,gene-PA14_RS05310,PA14_RS05310,Gene,NA,protein_coding,PA14_RS05310,PA14_13210
NC_008463.1,RefSeq,gene,1138174,1138602,.,-,.,gene-PA14_RS05315,PA14_RS05315,Gene,NA,protein_coding,PA14_RS05315,PA14_13220
NC_008463.1,RefSeq,gene,1138820,1139302,.,+,.,gene-PA14_RS05320,moaC,Gene,moaC,protein_coding,PA14_RS05320,PA14_13230
NC_008463.1,RefSeq,gene,1139299,1139550,.,+,.,gene-PA14_RS05325,moaD,Gene,moaD,protein_coding,PA14_RS05325,PA14_13240
NC_008463.1,RefSeq,gene,1139555,1140007,.,+,.,gene-PA14_RS05330,moaE,Gene,moaE,protein_coding,PA14_RS05330,PA14_13250
NC_008463.1,RefSeq,gene,1140109,1140666,.,+,.,gene-PA14_RS05335,moaB,Gene,moaB,protein_coding,PA14_RS05335,PA14_13260
NC_008463.1,RefSeq,gene,1140663,1141886,.,+,.,gene-PA14_RS05340,glp,Gene,glp,protein_coding,PA14_RS05340,PA14_13280
NC_008463.1,RefSeq,gene,1142001,1142996,.,+,.,gene-PA14_RS05345,PA14_RS05345,Gene,NA,protein_coding,PA14_RS05345,PA14_13290
NC_008463.1,RefSeq,gene,1143008,1143898,.,+,.,gene-PA14_RS05350,PA14_RS05350,Gene,NA,protein_coding,PA14_RS05350,PA14_13300
NC_008463.1,RefSeq,gene,1143892,1144407,.,+,.,gene-PA14_RS05355,PA14_RS05355,Gene,NA,protein_coding,PA14_RS05355,PA14_13320
NC_008463.1,RefSeq,gene,1144659,1146221,.,+,.,gene-PA14_RS05360,PA14_RS05360,Gene,NA,protein_coding,PA14_RS05360,PA14_13330
NC_008463.1,RefSeq,gene,1146258,1148600,.,+,.,gene-PA14_RS05365,PA14_RS05365,Gene,NA,protein_coding,PA14_RS05365,PA14_13340
NC_008463.1,RefSeq,gene,1148922,1149641,.,-,.,gene-PA14_RS05370,tsiT,Gene,tsiT,protein_coding,PA14_RS05370,PA14_13350
NC_008463.1,RefSeq,gene,1149638,1150423,.,-,.,gene-PA14_RS30125,tseT,Gene,tseT,protein_coding,PA14_RS30125,PA14_13360
NC_008463.1,RefSeq,gene,1150420,1150803,.,-,.,gene-PA14_RS05380,PA14_RS05380,Gene,NA,protein_coding,PA14_RS05380,PA14_13370
NC_008463.1,RefSeq,gene,1150796,1151323,.,-,.,gene-PA14_RS05385,PA14_RS05385,Gene,NA,protein_coding,PA14_RS05385,PA14_13380
NC_008463.1,RefSeq,gene,1151320,1151715,.,-,.,gene-PA14_RS05390,PA14_RS05390,Gene,NA,protein_coding,PA14_RS05390,PA14_13390
NC_008463.1,RefSeq,gene,1152100,1153683,.,-,.,gene-PA14_RS05395,PA14_RS05395,Gene,NA,protein_coding,PA14_RS05395,PA14_13410
NC_008463.1,RefSeq,gene,1153904,1154365,.,+,.,gene-PA14_RS05400,ivy,Gene,ivy,protein_coding,PA14_RS05400,PA14_13420
NC_008463.1,RefSeq,gene,1154465,1156819,.,-,.,gene-PA14_RS05405,fecA,Gene,fecA,protein_coding,PA14_RS05405,PA14_13430
NC_008463.1,RefSeq,gene,1156914,1157867,.,-,.,gene-PA14_RS05410,PA14_RS05410,Gene,NA,protein_coding,PA14_RS05410,PA14_13450
NC_008463.1,RefSeq,gene,1157864,1158373,.,-,.,gene-PA14_RS05415,PA14_RS05415,Gene,NA,protein_coding,PA14_RS05415,PA14_13460
NC_008463.1,RefSeq,gene,1158474,1159355,.,-,.,gene-PA14_RS05420,mdrR1,Gene,mdrR1,protein_coding,PA14_RS05420,PA14_13470
NC_008463.1,RefSeq,gene,1159481,1160383,.,+,.,gene-PA14_RS05425,PA14_RS05425,Gene,NA,protein_coding,PA14_RS05425,PA14_13490
NC_008463.1,RefSeq,gene,1160401,1161378,.,-,.,gene-PA14_RS05430,PA14_RS05430,Gene,NA,protein_coding,PA14_RS05430,PA14_13500
NC_008463.1,RefSeq,gene,1161473,1162426,.,-,.,gene-PA14_RS05435,PA14_RS05435,Gene,NA,protein_coding,PA14_RS05435,PA14_13510
NC_008463.1,RefSeq,gene,1162672,1164162,.,+,.,gene-PA14_RS05440,PA14_RS05440,Gene,NA,protein_coding,PA14_RS05440,PA14_13520
NC_008463.1,RefSeq,gene,1164159,1166354,.,+,.,gene-PA14_RS05445,PA14_RS05445,Gene,NA,protein_coding,PA14_RS05445,PA14_13530
NC_008463.1,RefSeq,gene,1166581,1167489,.,+,.,gene-PA14_RS05455,PA14_RS05455,Gene,NA,protein_coding,PA14_RS05455,PA14_13560
NC_008463.1,RefSeq,gene,1167617,1168780,.,-,.,gene-PA14_RS05460,PA14_RS05460,Gene,NA,protein_coding,PA14_RS05460,PA14_13580
NC_008463.1,RefSeq,gene,1168793,1169455,.,-,.,gene-PA14_RS05465,PA14_RS05465,Gene,NA,protein_coding,PA14_RS05465,PA14_13590
NC_008463.1,RefSeq,gene,1169455,1170390,.,-,.,gene-PA14_RS05470,PA14_RS05470,Gene,NA,protein_coding,PA14_RS05470,PA14_13600
NC_008463.1,RefSeq,gene,1170390,1171112,.,-,.,gene-PA14_RS05475,PA14_RS05475,Gene,NA,protein_coding,PA14_RS05475,PA14_13610
NC_008463.1,RefSeq,gene,1171554,1172828,.,+,.,gene-PA14_RS05480,PA14_RS05480,Gene,NA,protein_coding,PA14_RS05480,PA14_13620
NC_008463.1,RefSeq,gene,1172887,1173132,.,-,.,gene-PA14_RS05485,PA14_RS05485,Gene,NA,protein_coding,PA14_RS05485,PA14_13630
NC_008463.1,RefSeq,gene,1173163,1174062,.,-,.,gene-PA14_RS05490,PA14_RS05490,Gene,NA,protein_coding,PA14_RS05490,PA14_13650
NC_008463.1,RefSeq,gene,1174167,1174823,.,-,.,gene-PA14_RS05495,tpbA,Gene,tpbA,protein_coding,PA14_RS05495,PA14_13660
NC_008463.1,RefSeq,gene,1174918,1175304,.,-,.,gene-PA14_RS05500,PA14_RS05500,Gene,NA,protein_coding,PA14_RS05500,PA14_13670
NC_008463.1,RefSeq,gene,1175325,1176155,.,-,.,gene-PA14_RS05505,PA14_RS05505,Gene,NA,protein_coding,PA14_RS05505,PA14_13680
NC_008463.1,RefSeq,gene,1176243,1176992,.,-,.,gene-PA14_RS05510,PA14_RS05510,Gene,NA,protein_coding,PA14_RS05510,PA14_13690
NC_008463.1,RefSeq,gene,1177008,1177472,.,-,.,gene-PA14_RS05515,PA14_RS05515,Gene,NA,protein_coding,PA14_RS05515,PA14_13710
NC_008463.1,RefSeq,gene,1177638,1178033,.,-,.,gene-PA14_RS05520,anvM,Gene,anvM,protein_coding,PA14_RS05520,PA14_13720
